"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"116","서울특별시 성동구 옥수동","4","0004","0000","현대","71.0500","202401","09","123,000","107","7","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","24.03.08"
"117","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","177.1200","202401","08","355,000","1","6","개인","개인","1982","독서당로 156","-","중개거래","서울 성동구","24.01.29"
"118","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202401","06","148,500","105","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","24.02.26"
"119","서울특별시 종로구 사직동","9","0009","0000","광화문스페이스본(101동~105동)","131.4400","202403","09","173,500","105","9","개인","개인","2008","사직로8길 4","-","중개거래","서울 종로구","24.05.10"
"120","서울특별시 종로구 사직동","9","0009","0000","광화문스페이스본(101동~105동)","136.4000","202402","23","167,000","101","11","개인","개인","2008","사직로8길 4","-","중개거래","서울 종로구","24.05.03"
"121","서울특별시 종로구 사직동","9","0009","0000","광화문스페이스본(101동~105동)","159.0100","202402","16","190,000","-","13","개인","개인","2008","사직로8길 4","-","중개거래","서울 강남구, 서울 종로구","-"
"122","서울특별시 종로구 내수동","72","0072","0000","경희궁의아침3단지","149.0000","202401","13","192,000","-","4","개인","개인","2004","사직로8길 34","-","중개거래","서울 종로구","-"
"123","서울특별시 종로구 익선동","55","0055","0000","현대뜨레비앙","43.9800","202404","26","38,900","현대뜨레비앙","6","개인","개인","2003","돈화문로11가길 59","-","중개거래","서울 종로구","24.05.03"
"124","서울특별시 종로구 익선동","55","0055","0000","현대뜨레비앙","43.9800","202403","12","40,500","현대뜨레비앙","5","개인","개인","2003","돈화문로11가길 59","-","중개거래","서울 종로구","24.03.29"
"125","서울특별시 종로구 명륜1가","2-12","0002","0012","송림아마레스아파트","75.6200","202401","26","57,400","-","5","개인","개인","2003","성균관로17길 22","-","중개거래","서울 종로구","24.02.05"
"126","서울특별시 종로구 명륜1가","33-85","0033","0085","리치캐슬아파트","64.6800","202401","04","46,000","-","4","개인","개인","2003","성균관로14길 19","-","중개거래","서울 종로구","24.02.29"
"127","서울특별시 종로구 명륜2가","4","0004","0000","아남1","84.9000","202404","11","121,000","-","14","개인","개인","1995","창경궁로 265","-","중개거래","서울 종로구","-"
"128","서울특별시 종로구 명륜2가","4","0004","0000","아남1","84.9000","202403","29","127,000","제101","11","개인","개인","1995","창경궁로 265","-","중개거래","서울 종로구","24.05.13"
"129","서울특별시 종로구 명륜2가","4","0004","0000","아남1","84.9000","202403","28","120,500","제103","10","개인","개인","1995","창경궁로 265","-","중개거래","서울 종로구","24.05.10"
